,precision,recall,f1-score,support
0,0.9061756231992986,0.9896032831737346,0.9460537500817368,7310.0
1,0.7019607843137254,0.19288793103448276,0.3026204564666103,928.0
accuracy,0.8998543335761107,0.8998543335761107,0.8998543335761107,0.8998543335761107
macro avg,0.804068203756512,0.5912456071041087,0.6243371032741736,8238.0
weighted avg,0.8831710868451091,0.8998543335761107,0.8735718252850826,8238.0
