feature,importance
pdays,0.12220136161911935
poutcome_success,0.10178645950130341
age,0.09674965154700232
no_previous_contact,0.09365735081888187
previous,0.043571528442478254
month_mar,0.038771746441071536
month_oct,0.03363012394874182
campaign,0.030983125163889284
contact_telephone,0.021940125657417372
contact_cellular,0.021822517238081533
poutcome_nonexistent,0.02146877318099036
month_sep,0.0197711339569581
month_jun,0.018665979746799562
poutcome_failure,0.01804936224849651
not_working,0.015324976899682173
month_apr,0.0151776234853022
month_may,0.014567782383233458
day_of_week_mon,0.01174872686787559
housing_no,0.010415313435105976
housing_yes,0.010156220601087122
default_no,0.009990558600808256
month_dec,0.009983709692525234
education_university.degree,0.00980143953667437
day_of_week_thu,0.009650652719340944
job_retired,0.009046092919721626
default_unknown,0.009002060623467647
day_of_week_fri,0.008918936267503244
day_of_week_tue,0.008790231036964349
education_high.school,0.008735695116147796
marital_married,0.008694124440671323
marital_single,0.008544830896137596
job_student,0.008395608693956627
month_jul,0.008370556500888984
day_of_week_wed,0.008276974846278028
loan_no,0.007776977501318877
loan_yes,0.007657443446998185
month_nov,0.007520876503902971
month_aug,0.007150334018736256
education_basic.9y,0.006704692813527509
job_admin.,0.0066272437502118845
job_blue-collar,0.006306651547108193
education_basic.4y,0.006234357272042344
education_professional.course,0.006207616733795803
job_technician,0.0058786433260849934
marital_divorced,0.005851032997191957
education_unknown,0.00583394874072312
job_management,0.004166832841964047
job_services,0.004062209580024366
education_basic.6y,0.0036778402379867986
job_unemployed,0.0034902161430103774
job_unknown,0.0034696459877446057
job_self-employed,0.0030915221118174535
housing_unknown,0.0029240269261190145
loan_unknown,0.0028231628046553304
job_entrepreneur,0.002629032982457338
job_housemaid,0.0022290084837240792
marital_unknown,0.0006798055225679475
education_illiterate,0.0003455025042599825
default_yes,2.0147422734974238e-08
